sku,nombre,regular,tecnico,cananea,mayoreo_menos,mayoreo_mas,notas
2070,BUJE 50/50 DE BOLITA SANYO,35.00,25.00,11.03,15.00,11.03,
2069,BUJE ANTIGUA ROK MEDIDA PHILIP,40.00,30.00,15.80,20.00,15.80,
2075,BUJE BOLITA HIERRO 10MM DIAM. INT.,35.00,25.00,8.50,15.00,8.50,
2077,BUJE DE BRONCE DIAM 8MM MITEK,40.00,30.00,13.13,20.00,13.13,
2067,BUJE MOTOR VENTILADOR PEDESTAL BRONCE,55.00,45.00,25.30,35.00,25.30,
2066,BUJE PARA VENT. DE PISO MODERNO HIERRO,35.00,25.00,8.40,15.00,8.40,
2078,BUJE RA2,50.00,40.00,20.48,30.00,20.48,
504,CAPACITOR VENTILADOR CUAD. 4+5+6 UF 250V,65.00,50.00,27.17,40.00,27.17,
037103575883,HIDROLAVADORA A PRESION 1400W 1160 PSI 120V GB,2000.00,1800.00,1437.25,1680.00,1437.25,
1927,INTERRUPTOR DE PLAFON 3 VEL.,50.00,37.29,37.29,50.00,37.29,
1930,INTERRUPTOR DE PLAFON S/C,70.00,65.00,38.86,45.00,38.86,
1926,INTERUPTOR DE PLAFON PARA LUZ,60.00,40.00,25.21,35.00,25.21,
608,‑‑‑‑,45.00,0.00,,45.00,0.00,sin_decimal_para_cananea
7501042300439,***,29.00,0.00,,29.00,0.00,sin_decimal_para_cananea
6021,****,0.00,,,,0.00,un_solo_precio_distinto;sin_decimal_para_cananea
1659,10 CABLES CABLS CAIMAN 30CM JUMPER MACHO,90.00,75.01,75.01,75.01,0.00,
46925,ABRAZADERA PARA TUBO TIPO OMEGA 4 PLG,23.20,5.50,,23.20,5.50,varios_con_decimales
1744,ABRAZADERA TUBO 1‑1/4,5.50,,5.50,,5.50,un_solo_precio_distinto
7501206689868,ACEITE MULTIUSOS 30 ML,30.00,25.00,14.80,20.00,14.80,
7501206689875,ACEITE MULTIUSOS 90 ML,40.00,35.00,23.12,30.00,23.12,
7503003799627,ACIDO COIL CLENNER GAL. MOR,260.00,220.00,132.89,190.00,132.89,
2000,ACIDO COIL CLENNER MOR.BIDON 20LT,970.00,900.00,581.23,840.00,581.23,
630,ACIDO MURIATICO AMARILLO LTR,25.00,,,,25.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206657478,ADAPTADOR NARANJA DE 2 A 3 SIN TIERRA,40.00,30.00,,30.00,0.00,sin_decimal_para_cananea
7501199420035,AFLOJATODO LOCTITE 300G,150.00,0.00,,150.00,0.00,sin_decimal_para_cananea
7506240601913,ALAMBRE GALVANIZADO CAL. 18,80.04,,80.04,,80.04,un_solo_precio_distinto
716352497275,ANTOCHA TURBO TORCH TX504,2000.00,0.00,,2000.00,0.00,sin_decimal_para_cananea
037103574886,ASPERSORA MANUAL 1.5L GB,180.00,150.00,96.23,135.00,96.23,
037103575500,"ASPERSORA MANUAL DE 5L ""GB""",350.00,320.00,221.68,290.00,221.68,
fc108,ATOMIZADOR DE GATILLO 1LT,60.00,50.00,30.70,50.00,30.70,
2250,ATOMIZADOR SOLO 1LT,50.00,45.00,33.63,45.00,33.63,
7506240651994,ATOMIZADOR TRUPER 1L,60.00,50.00,,50.00,0.00,sin_decimal_para_cananea
7503026177396,BALERO 608 WMP,25.00,20.00,12.60,15.00,12.60,
sv1465‑b62002rs,BALERO 6200 2RS NTN,65.00,50.00,30.01,40.00,30.01,
739210356897,BALERO 6201 PARA MOTOR DE LAV WH PFI,30.00,20.86,20.86,30.00,20.86,
1247,BALERO 6201 WMP,45.00,40.00,20.54,30.00,20.54,
1201,BALERO 6305 LAVADORA FRONTAL LG,32.29,,32.29,,32.29,un_solo_precio_distinto
954,BALERO 6306 NTN LAVADORA FRONTAL,119.17,,119.17,,119.17,un_solo_precio_distinto
955,BALERO 6306 WMP LAVADORA FRONTAL,190.00,150.00,46.30,90.00,46.30,
809,BALERO ASER 6203 LAVADORA FRONTAL LG,30.00,22.01,22.01,22.01,0.00,
sv1465‑b6082rs,BALERO NTN 608,25.90,,25.90,,25.90,un_solo_precio_distinto
6202,BALERO NTN 6202,65.00,55.00,,55.00,0.00,sin_decimal_para_cananea
6203,BALERO NTN 6203,45.00,0.00,,45.00,0.00,sin_decimal_para_cananea
739210356569,BALERO PFI 6006 SIRVE P/LAV,55.00,52.20,52.20,52.20,0.00,
739210356729,BALERO PFI 608,30.00,23.00,,23.00,0.00,sin_decimal_para_cananea
6203'2rs 1‑2[ c3,"BALERO PFI 6203 1/2""",40.00,30.00,,30.00,0.00,sin_decimal_para_cananea
7316570468236,BALERO SKF 608,50.00,0.00,,50.00,0.00,sin_decimal_para_cananea
2158,BANDA ASPIRADORA 562932001,400.00,,,,400.00,un_solo_precio_distinto;sin_decimal_para_cananea
7506610205628,BASCULA DIGITAL COLGANTE 50KG PRETUL,155.00,145.00,,145.00,130.00,sin_decimal_para_cananea
7506240665403,BASCULA ELECTRONICA PRETUL 40KG,1250.00,1100.00,,1100.00,0.00,sin_decimal_para_cananea
2220,BIDON DESENGRASANTE BLANCO 20 LT,1100.00,980.00,695.50,940.00,695.50,
2221,BOMBA DE AGUA GARRAFON ELECTRICA RECARGABLE,200.00,155.00,84.68,140.00,84.68,
7503026192573,BOMBA DISPENSADORA DE AGUA COLDTEK PARA REFRIGERADOR,1651.61,,1651.61,,1651.61,un_solo_precio_distinto
7506240667964,BOMBA PRESURIZADORA 1/6HP 1A TRUPER,1230.00,1090.00,761.31,940.00,761.31,
037103570949,BOQUILLA DE AUTOENCENDIDO CON PERILLA DE BRONCE TURNER,359.42,,359.42,,359.42,un_solo_precio_distinto
037103576026,"BOQUILLA DE DOBLE TUBO CON AUTOENCENDIDO DE ALTO RENDIMIENTO ""GB""",1100.00,,,,1100.00,un_solo_precio_distinto;sin_decimal_para_cananea
716352459761,BOQUILLA DE DOBLE TUBO DE ALTO RENDIMIENTO TURNER,438.49,,438.49,,438.49,un_solo_precio_distinto
037103572325,BOQUILLA DE TRIPLE TUBO DE ALTO RENDIMIENTO TURNER,1100.00,995.00,,890.00,645.00,sin_decimal_para_cananea
405,BOQUILLA ENCENDIDO ELEC. P/GAS,650.00,600.00,,600.00,0.00,sin_decimal_para_cananea
070042401004,BOQUILLA LATON P/GAS,400.00,340.00,,340.00,0.00,sin_decimal_para_cananea
7503050733360,BOQUILLA P/SOLDAR DOBLE COLDTEK,1000.00,890.00,534.71,770.00,534.71,
7503050733346,BOQUILLA P/SOLDAR SENCILLA  COLDTEK,630.00,560.00,336.17,480.00,336.17,
7503050733353,BOQUILLA P/SOLDAR SENCILLA CON AUTOENCENDIDO COLDTEK,680.00,590.00,,500.00,352.00,sin_decimal_para_cananea
7501206613894,"BROCA C/SIST INSER 7/16X6""",90.00,75.00,47.25,70.00,47.25,
7501206614037,BROCA CON SISTEMA DIRECTO DE INSRSION SDS 1/4X6,48.00,40.99,40.99,40.99,0.00,
7501206634479,BROCA CONCRETO TRUPER,17.40,0.00,17.40,17.40,0.00,
1606,"BROCA DE ALTA VELOCIDAD 1/2""",210.00,0.00,,210.00,0.00,sin_decimal_para_cananea
1608,"BROCA DE ALTA VELOCIDAD 1/8""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1609,"BROCA DE ALTA VELOCIDAD 11/64""",25.00,0.00,,25.00,0.00,sin_decimal_para_cananea
1610,"BROCA DE ALTA VELOCIDAD 3/16""",25.00,0.00,,25.00,0.00,sin_decimal_para_cananea
1611,"BROCA DE ALTA VELOCIDAD 3/32""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1612,BROCA DE ALTA VELOCIDAD 3/8,104.00,0.00,,104.00,0.00,sin_decimal_para_cananea
1613,"BROCA DE ALTA VELOCIDAD 5/16""",65.37,0.00,65.37,65.37,0.00,
1619,"BROCA DE ALTA VELOCIDAD 5/32""",20.00,0.00,,20.00,0.00,sin_decimal_para_cananea
1614,"BROCA DE ALTA VELOCIDAD 5/64""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1615,BROCA DE ALTA VELOCIDAD 7/16,165.00,0.00,,165.00,0.00,sin_decimal_para_cananea
1616,"BROCA DE ALTA VELOCIDAD 7/32""",35.00,0.00,,35.00,0.00,sin_decimal_para_cananea
1617,"BROCA DE ALTA VELOCIDAD 7/64""",15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
1618,"BROCA DE ALTA VELOCIDAD 9/64""",18.00,0.00,,18.00,0.00,sin_decimal_para_cananea
1607,"BROCA DE ALTA VELODAD 1/4""",45.00,0.00,,45.00,0.00,sin_decimal_para_cananea
7501206634486,BROCA PARA CONCRETO 1/4X6,25.00,20.00,,20.00,0.00,sin_decimal_para_cananea
1425,BROCA PARA CONCRETO 3/8X12,65.00,52.49,52.49,52.49,0.00,
7506240682066,BROCA SDS 3/8X24 TRUPER,170.00,123.00,,170.00,123.00,sin_decimal_para_cananea
7501206613924,"BROCA SDS 3X12"" TRUPER",110.00,90.00,57.75,85.00,57.75,
7501206675267,"BROCA‑SIERRA BIMETALICA 2""",210.00,160.00,,210.00,160.00,sin_decimal_para_cananea
7503005496265,"BROCHA  2 1/2""",20.00,,,,20.00,un_solo_precio_distinto;sin_decimal_para_cananea
2076,BUJE DE HIERRO DIAM 10MM,30.00,20.00,8.50,10.00,8.50,
2065,BUJE S/CEJA TRASERO MEDIDA BRONCE,45.00,35.00,17.33,25.00,17.33,
7502309730310,CABLES PARA MULTIMETRO TRUPER,47.26,,47.26,,47.26,un_solo_precio_distinto
1,CABLES PARA SOLDAR 10 MTS.,725.00,0.00,,725.00,0.00,sin_decimal_para_cananea
7506240646730,CAJA APILABLE MEDIANA TRUPER,35.00,,,,35.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206656181,"CAJA DE HERRAMIENTA AMPLIA 22""",245.00,0.00,,245.00,0.00,sin_decimal_para_cananea
7501206622834,"CAJA DE HERRAMIENTA REFORZADA 17""",250.00,238.00,,238.00,0.00,sin_decimal_para_cananea
1333,CAJA DE HERRAMIENTAS HUSKY,4060.00,0.00,,4060.00,0.00,sin_decimal_para_cananea
7501206661871,"CAJA P/HERRAMIENTA 16"" TRUPER",190.00,160.00,,160.00,0.00,sin_decimal_para_cananea
7506240654759,"CAMARA LLANTA 10""",90.00,,,,90.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206672693,CANDADO DE COMBINACION 40MM HERMEX,175.00,,,,175.00,un_solo_precio_distinto;sin_decimal_para_cananea
1399,CAPACITOR DE ARRANQUE 270 A 324 UF A 110 V.,110.00,85.00,42.03,65.00,42.03,
7501206696545,CAPUCHON P/CABLE 10‑12 A,30.00,25.00,,25.00,0.00,sin_decimal_para_cananea
7501206696552,CAPUCHONES P/CABLE 12‑14 N,25.00,20.00,9.46,18.00,9.46,
7501206696569,CAPUCHONES P/CABLE SURTIDO,40.00,0.00,,40.00,0.00,sin_decimal_para_cananea
1924,CARBON UNIVERSAL,45.00,,,,45.00,un_solo_precio_distinto;sin_decimal_para_cananea
1935,CARBONES DE PULIDOR C/ZAPATA BOSCH,65.00,55.00,30.98,45.00,30.98,
1936,CARBONES DE PULIDOR O ESMERIL,80.00,70.00,40.43,60.00,40.43,
1925,CARBONES PAR COMP 1ERA CALIDAD,45.00,35.00,19.43,25.00,19.43,
219,CEDAZO Y EMPAQUE PARA MANGUERA JUEGO,25.00,20.00,2.68,10.00,2.68,
7501206662373,CENTRO DE CARGA 2P VOLTECK,150.00,130.00,,130.00,0.00,sin_decimal_para_cananea
309,CENTRO DE CARGA RILEZ 2P,150.00,125.00,,125.00,0.00,sin_decimal_para_cananea
7506240642848,CEPILLO ALAMBRE PRETUL,35.00,25.30,25.30,35.00,25.30,
7501206608685,CEPILLO DE ALAMBRE CURVO TRUPER,40.00,23.12,23.12,40.00,23.12,
7500012011955,"CEPILLO DE ALAMBRE T. COPA 3""",130.00,0.00,,130.00,0.00,sin_decimal_para_cananea
7506240683513,CEPILLO FLEXIBLE PLASTICO,25.00,0.00,,25.00,0.00,sin_decimal_para_cananea
7506240636427,CEPILLO TIPO ESCOBETA,19.99,0.00,19.99,19.99,0.00,
7506240636403,CEPILLO TIPO PLANCHA,20.00,,,,20.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206684696,CINCEL SDS PLANO GRUESP TRUPER,150.00,140.00,,140.00,0.00,sin_decimal_para_cananea
876416155289,CINCHO DE PLASTICO 19CM,46.40,0.00,46.40,46.40,0.00,
7501206683477,CINCHO DE PLASTICO 20 CM,70.00,50.00,,70.00,50.00,sin_decimal_para_cananea
7501206683491,CINCHO DE PLASTICO 30CM,85.00,70.00,,85.00,70.00,sin_decimal_para_cananea
876416155296,CINCHO DE PLASTICO 35CM,46.40,0.00,46.40,46.40,0.00,
7501206683996,CINCHO DE PLASTICO 50 CM,58.00,0.00,,58.00,0.00,sin_decimal_para_cananea
076308925680,CINTA AISLANTE 3M,45.00,40.00,,40.00,35.00,sin_decimal_para_cananea
833650307,CINTA AISLANTE E‑8000,180.00,0.00,,180.00,0.00,sin_decimal_para_cananea
1391,CINTA AISLANTE ELECTRICA 18M,10.60,,10.60,,10.60,un_solo_precio_distinto
7501206626610,CINTA AISLANTE ELECTRICA 9M,9.00,0.00,,9.00,0.00,sin_decimal_para_cananea
78204320088,"CINTA DE ALUMINIO 3""",290.00,250.00,,250.00,0.00,sin_decimal_para_cananea
655616000045,CINTA DE ALUMINIO FASSON,290.00,250.00,,250.00,0.00,sin_decimal_para_cananea
078204320088,"CINTA DE ALUMINIO IDELTAPE 488 3""",395.00,365.00,,350.00,340.00,sin_decimal_para_cananea
1653,CINTA ESPUMA COLDTECK METRO,20.00,0.00,,20.00,0.00,sin_decimal_para_cananea
7503026204740,CINTA ESPUMA COLDTEK 9.14M,140.00,115.00,,110.00,100.00,sin_decimal_para_cananea
151,CINTA GRIS 40MM,43.76,,43.76,,43.76,un_solo_precio_distinto
7501206695364,CINTA TEFLON SELLA ROSCAS 1/2,10.00,0.00,,10.00,0.00,sin_decimal_para_cananea
7506240602569,CINTA TEFLON TRUPPER 7 M,16.00,,,,16.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206641729,CINTA TRANSPARENTE 150M/.050MM,60.00,55.00,,60.00,55.00,sin_decimal_para_cananea
54007150251,CINTA VULCANIZABLE 3M SUPER 23,290.00,0.00,,290.00,0.00,sin_decimal_para_cananea
7501206658680,CLAVIJA REF. CON TIERRA 110V,25.00,0.00,,25.00,0.00,sin_decimal_para_cananea
7501206658659,CLAVIJA REF. SIN TIERRA 110V,20.00,,,,20.00,un_solo_precio_distinto;sin_decimal_para_cananea
7501206658512,CLAVIJA TIPO CHINO 220V,20.99,0.00,20.99,20.99,0.00,
307,CODO PVC 1/2,5.00,0.00,,5.00,0.00,sin_decimal_para_cananea
7501206655405,"CONECTOR ""Y"" DE ALUMINIO TRUPER 3/4",90.00,80.00,54.62,75.00,54.62,
7501206655412,"CONECTOR ""Y"" PLASTICO PRETUL",30.00,,,,30.00,un_solo_precio_distinto;sin_decimal_para_cananea
2128,"CONECTOR RAPIDO 1/4 ""T""",40.00,30.00,9.46,20.00,9.46,
2127,CONECTOR RAPIDO 1/4 CODO,40.00,30.00,6.83,20.00,6.83,
2130,CONECTOR RAPIDO 5/16 ‑ 5/16,40.00,30.00,10.60,20.00,10.60,
2131,"CONECTOR RAPIDO 5/16 ""T""",40.00,30.00,12.70,20.00,12.70,
7501206652602,CONECTOR RAPIDO GRIFO‑MANGUERA,50.00,,,,50.00,un_solo_precio_distinto;sin_decimal_para_cananea
826,CONECTOR RAPIDO HEMBRA,15.00,0.00,,15.00,0.00,sin_decimal_para_cananea
2129,CONECTOR REDUCCION 1/4 ‑ 5/16 RECTO,45.00,35.00,13.42,25.00,13.42,
7501206658673,CONTACTO REF. SIN TIERRA,22.99,0.00,22.99,22.99,0.00,
7503033971581,COPLE RAPIDO ANGULADO AZUL DE BAJA PRESION,240.00,220.00,143.72,210.00,143.72,
866,CUBRE BOCAS AZUL,10.00,0.00,,10.00,0.00,sin_decimal_para_cananea
7501206641194,CUTTER 6 PRETUL,18.00,0.00,,18.00,0.00,sin_decimal_para_cananea
1421,DADO MAGNETICO HEXAGONAL TRUPER 1/4,20.00,15.00,8.20,15.00,8.20,
7506240673002,DADO MAGNETICO HEXAGONAL TRUPER 3/8,18.00,14.93,14.93,14.93,0.00,
1420,DADO MAGNETICO HEXAGONAL TRUPER 5/16,25.00,20.00,,25.00,20.00,sin_decimal_para_cananea
7.5062406806e+12,"DESARMADOR CRUZ 1/4 X 12"" PRETUL",80.00,0.00,,80.00,0.00,sin_decimal_para_cananea
7506240661825,"DESARMADOR DE CAJA 1/4""",70.00,65.00,40.96,60.00,40.96,
7506240661832,"DESARMADOR DE CAJA 5/16""",70.00,65.00,40.96,60.00,40.96,
7501206664261,DESARMADOR ESTRELLA PUNTA PHILIPS 3/16X6 PRETUL,50.00,40.00,,40.00,0.00,sin_decimal_para_cananea
7501206664131,"DESARMADOR PALETA 1/4X4"" PRETUL",50.00,40.00,25.20,35.00,25.20,
7501206664117,DESARMADOR PALETA PUNTA PHILIPS 3/16X6 PRETUL,50.00,40.00,,40.00,0.00,sin_decimal_para_cananea
7501206664148,"DESARMADOR PHILL. 1/4X4"" PRETUL",50.00,45.00,33.62,45.00,33.62,
7501206617922,DESARMADOR PUNTA PHILIPS #2 TRUPPER,80.00,70.00,45.16,65.00,45.16,
7501206664070,DESARMADOR PUNTA PHILLIPS #2,65.00,50.00,,50.00,0.00,sin_decimal_para_cananea
7501206641781,DESARMADOR SCREWDRIVE TRUPER 6 EN 1,150.00,130.00,72.46,110.00,72.46,
810022392386,DESATORNILLADOR DE IMPACTO HART 20V,1700.00,0.00,,1700.00,0.00,sin_decimal_para_cananea
1414,DESENGRASANTE 1 LT,40.00,0.00,,40.00,0.00,sin_decimal_para_cananea
7503003799221,DESENGRASANTE BLANCO FOAM CLEANER 1 GAL.,175.00,122.58,122.58,175.00,122.58,
7503003799214,DESENGRASANTE BLANCO FOAM CLEANER 1 LT,95.00,80.00,52.56,75.00,52.56,
037103575821,DESTORNILLADOR 6 EN 1 GB,110.00,85.00,47.51,65.00,47.51,
037103576019,DESTORNILLADOR DE MATRACA CON BISADRA 10 PUNTAS GB,320.00,280.00,170.53,240.00,170.53,
2008,DIODO RECTIFICADOR PARA MICROONDAS,45.00,35.00,20.77,30.00,20.77,
7502224730785,"DISCO DE CORTE 4.5"" PARA METAL MARAGA",25.00,20.00,,15.00,10.00,sin_decimal_para_cananea
7506240623885,"DISCO PARA CORTAR METAL 14"" PRETUL",85.00,,,,85.00,un_solo_precio_distinto;sin_decimal_para_cananea
024721151308,DISCO PARA MADERA 7 1/4,150.00,130.80,130.80,130.80,0.00,
bs45,"DISCO SEGMENTADO 4.5"" BRONCE",190.00,175.00,,175.00,0.00,sin_decimal_para_cananea
885911576963,DOBLADOR DE LAMINA LENOX,300.00,0.00,,300.00,0.00,sin_decimal_para_cananea
2242,DOBLADOR DE TUBOS 180° 3/16‑3/8 GB,320.00,270.00,160.78,230.00,160.78,
7501206655900,EMPAQUE DEHULE P/MANG. 10 PZAS.,7.35,,7.35,,7.35,un_solo_precio_distinto
2239,"EQUIPO PORTATIL PARA SOLDAR Y CORTAR CON ADAPTADOR ""GB""",6000.00,5500.00,,6000.00,5500.00,sin_decimal_para_cananea
792363696456,ESMERILADOR DRILMASTER,780.00,660.01,660.01,550.00,0.00,
7501206634349,"ESPATULA 3"" PRETUL MANGO PLASTICO",40.00,30.00,,30.00,0.00,sin_decimal_para_cananea
7506240620280,ESPUMA EXPANSIVA 500ML TRUPPER,200.00,0.00,,200.00,0.00,sin_decimal_para_cananea
037103572813,ESPUMA POLIURETANO 500 ML T&E,210.00,180.00,112.06,160.00,112.06,
7502222827869,ESTOPA ALGODON COLOR CREMA 1 KG,60.00,50.30,50.30,50.30,0.00,
312,ESTOPA COLOR BOLSA 1KG ARD,75.00,64.99,64.99,64.99,0.00,
2309,EXPANSOR DE TUBO UNIVERSAL TIPO PINZA GB,530.00,470.00,292.33,400.00,292.33,
7501206663714,EXTENCION USO RUDO 4 M CAL 16,100.00,85.00,,85.00,0.00,sin_decimal_para_cananea
7506240673095,EXTENSION MAGNETICA 1/4 PARA DESATORNILLADOR,25.00,0.00,,25.00,0.00,sin_decimal_para_cananea
7506240676287,"EXTENSION MAGNETICA 1/4"" TRUPER",90.00,80.00,51.47,80.00,51.47,
7506240676294,"EXTENSION MAGNETICA ARTICULADA 1/4"" TRUPER",103.95,,103.95,,103.95,un_solo_precio_distinto
7501206647820,"EXTENSION MATRACA 3/8X8""",100.00,0.00,,100.00,0.00,sin_decimal_para_cananea
7506240699569,EXTESION FLEXIBLE PARA TALADRO 30 TRUPER,180.00,80.00,,80.00,0.00,sin_decimal_para_cananea
7506240653196,FILTRO PARA HIDROLAV. TRUPER,150.00,125.00,,105.00,0.00,sin_decimal_para_cananea
7501206673317,FLEXOMETRO TRUPER 3 M,100.00,80.07,80.07,80.07,0.00,
7501206673324,FLEXOMETRO TRUPER 5M,125.00,115.00,78.77,115.00,78.77,
7501206673331,FLEXOMETRO TRUPER 8M,220.00,219.00,,219.00,0.00,sin_decimal_para_cananea
1986,FLOTADOR SENSOR DE DISPENSADOR DE AGUA,120.00,100.00,57.75,100.00,57.75,
684032000759,FRASCO FUNDENTE P/PLATA .5LB,160.00,150.00,,150.00,0.00,sin_decimal_para_cananea
684032000889,FRASCO FUNDENTE PLATA 6.5OZ,200.00,180.00,,180.00,0.00,sin_decimal_para_cananea
7502309735599,FUMIGADOR TRUPER 2.5 LTS,260.00,225.00,135.48,195.00,135.48,
7501206663165,FUMIGADOR TRUPER 2L,150.00,130.50,130.50,130.50,0.00,
7506240652939,FUMIGADOR TRUPER 3 LT,320.00,300.00,,300.00,280.00,sin_decimal_para_cananea
7506240652946,FUMIGADOR TRUPER 5 LT,350.00,330.00,,330.00,310.00,sin_decimal_para_cananea
037103576163,FUNDENTE BLANCO 100G P/ SOLDADURA GB,180.00,155.00,77.96,120.00,77.96,
2074,"FUSIBLE 5A, 220V",25.00,20.00,,10.00,3.00,sin_decimal_para_cananea
1941,"FUSIBLE TERMICO 10A, 250V, 240C",30.00,25.00,4.73,15.00,4.73,
1942,FUSIBLE TERMICO 117C,30.00,20.00,3.68,10.00,3.68,
2252,FUSIBLE TERMICO 3A 150C 240V,18.37,,18.37,,18.37,un_solo_precio_distinto
2253,FUSIBLE TERMICO 5A 150C 240V,18.37,,18.37,,18.37,un_solo_precio_distinto
7506240639718,GAS PROPANO 400GR AZUL,213.44,210.00,,209.03,0.00,varios_con_decimales
14045885355,GAS TANQUE AMARILLO TURNER,240.00,230.00,127.90,220.00,127.90,
1502,GENERADOR DE FRECUENCIA PWM,320.00,0.00,,320.00,0.00,sin_decimal_para_cananea
7506240674603,GRAPAS PARA CABLE COAXIAL 6MM 500 PZ,170.00,,,,170.00,un_solo_precio_distinto;sin_decimal_para_cananea
7506240621737,GRASA CHASIS LITIO TRUPER,100.00,90.00,,85.00,0.00,sin_decimal_para_cananea
7501390512959,GRASA CHASIS ROSHFRANS 250GR.,60.00,50.00,,50.00,45.00,sin_decimal_para_cananea
7501390512355,GRASA GRAFITADA ROSHFRANS 250GR,40.00,35.00,,35.00,0.00,sin_decimal_para_cananea
7501390502745,GRASA PARA BALEROS Y RODAMIENTOS BAT3 850G,100.00,0.00,,100.00,0.00,sin_decimal_para_cananea
7501390533015,GRASA PREMIUM MULTIPROPOSITO DUXCA‑4 ROSHFRANS,150.00,140.00,95.16,130.00,95.16,
7501390512720,GRASA ROSHFRAN B.A.T. 3 250GR,65.00,55.00,35.95,50.00,35.95,
7501390512249,GRASA ROSHFRANS BALIT COMPLEX PLUS 400G,100.00,85.00,,85.00,0.00,sin_decimal_para_cananea
7506240657637,GUANTES DE NYLON RECUBIERTOS PRETUL TG,40.00,26.26,26.26,40.00,26.26,
7506240657620,GUANTES DE NYLON RECUBIERTOS PRETUL TM,40.00,,,,40.00,un_solo_precio_distinto;sin_decimal_para_cananea
731919331021,GUANTES DE SEGURIDAD MARCA FIRMGRIP DIF. COLORES,140.00,130.00,,130.00,0.00,sin_decimal_para_cananea
7506240616528,HERRAMIENTA MULTIUSOS PRETUL,270.00,250.48,250.48,250.48,0.00,
037103575890,"HIDROLAVADORA A PRESION 1800W 1450 PSI 120V ""GB""",1830.00,1760.00,1540.78,1760.00,1540.78,
slit35032,HIDROLAVADORA A PRESION PORTATIL,650.00,,,,650.00,un_solo_precio_distinto;sin_decimal_para_cananea
7506240670896,HIDROLAVADORA ELECTRICA PRETUL 1300PSI,1350.00,,,,1350.00,un_solo_precio_distinto;sin_decimal_para_cananea
1938,JGO CARBONES MD. CUBE 1ERA CALIDAD,50.00,40.00,19.95,30.00,19.95,
7501206653975,JUEGO 5 PIEDRAS MONTADAS ALTO RENDIMIENTO,97.00,80.01,80.01,80.01,0.00,
7506240658344,JUEGO ADAPTADORES LARGO DADOS TRUPER,150.00,120.75,120.75,150.00,120.75,
7501206625934,JUEGO DE 10 LIMAS PARA RELOJ,250.00,200.00,,200.00,0.00,sin_decimal_para_cananea
7506240658085,JUEGO DE ADAPTADORES P/DADO 3PZ,90.00,80.01,80.01,80.01,0.00,
000346460209,JUEGO DE BROCAS ATORNILLADORAS BOSH 47PZ,450.00,400.00,,350.00,320.00,sin_decimal_para_cananea
7506240656944,JUEGO DE DADOS PARA TALADRO PRETUL,140.00,130.00,98.62,130.00,98.62,
7501206671986,JUEGO DE DESARMADORES DE JOYERO TRUPER,150.00,125.00,78.77,115.00,78.77,
140,JUEGO DE EXPANSORES 5PZ,140.00,120.00,,120.00,0.00,sin_decimal_para_cananea
7501206648629,JUEGO DE LLAVE ALLEN 9PZ MM AZUL,100.00,0.00,,100.00,0.00,sin_decimal_para_cananea
7501206643495,JUEGO DE LLAVES ALLEN 8 PZS,35.00,21.00,,35.00,21.00,sin_decimal_para_cananea
7506240647034,JUEGO DE LLAVES TORX PRETUL,75.00,70.00,47.30,70.00,47.30,
7506240690917,"JUEGO DE PUNTAS 2"" CON SEGURO TORX TRUPER",72.46,,72.46,,72.46,un_solo_precio_distinto
7506240690948,"JUEGO DE PUNTAS 2"" TORX TRUPER",90.00,72.46,72.46,90.00,72.46,
7501206648636,JUEGO LLAVE ALLEN 9 PZ. STD,100.00,0.00,,100.00,0.00,sin_decimal_para_cananea
2135,KIT FILTROS OSMOSIS PURIKOR 6 ETAPAS 1 AÑO,1070.00,,,,1070.00,un_solo_precio_distinto;sin_decimal_para_cananea
2182,KIT PINZAS ANTIESTATICAS DE PRECISION 6 PZS.,100.00,,,,100.00,un_solo_precio_distinto;sin_decimal_para_cananea
48129,LAMAPARAS LED TIPO PRUEBA DE VAPOR 40W/65K/3400L SOBREPONER,190.00,115.53,115.53,190.00,115.53,
75650000311,LATA PULIURETANO .340K,170.00,159.99,159.99,159.99,0.00,
17501206685386,LIJA AGUA 120 HOJA,15.00,10.00,,15.00,10.00,sin_decimal_para_cananea
7501206685419,LIJA AGUA 220,15.00,11.00,,11.00,0.00,sin_decimal_para_cananea
17501206685249,LIJA LONA 80,20.00,18.03,18.03,18.03,0.00,
7501206603253,LIJA P/PLOMERO 120 METRO,15.00,10.00,,15.00,10.00,sin_decimal_para_cananea
227,LIMPIADOR DE SERPEN. COILCLEANER MOR. 1LT,65.00,46.29,46.29,65.00,46.29,
228,LIMPIADOR DE SERPENTINES COILCLEANER MOR. GAL.,200.00,,,,200.00,un_solo_precio_distinto;sin_decimal_para_cananea
229,LIMPIADOR SERPENTINES ALQUIM 1L ROS.,64.29,,64.29,,64.29,un_solo_precio_distinto
230,LIMPIADOR SERPENTINES ALQUIM GAL. ROS,360.00,330.00,252.69,310.00,252.69,
