sku,nombre,regular,tecnico,cananea,mayoreo_menos,mayoreo_mas,notas
1238,BANDA ACROS 1 TINA GEN,160.00,135.00,,135.00,0.00,sin_decimal_para_cananea
1257,BANDA ACROS 1 TINA W10306598,160.00,140.00,,130.00,120.00,sin_decimal_para_cananea
1037,BANDA GE HOT POINT DIGITAL WH01X10353E,320.00,270.00,160.78,230.00,160.78,
1481,BANDA LAV GE 5 VIAS 36CM 189D3909P003,220.00,190.00,,180.00,165.00,sin_decimal_para_cananea
1717,BANDA LAV MAYTAG 2 BANDAS 211124/21112 GEN,77.70,,77.70,,77.70,un_solo_precio_distinto
746041055844,BANDA LAV MAYTAG NEPTUNO FRONTAL 12001788,560.00,440.00,,390.00,340.00,sin_decimal_para_cananea
620,BANDA LAV SM M20.5 WMP,18.39,,18.39,,18.39,un_solo_precio_distinto
1949,BANDA LAV. AMANA 35.5CM GEN,190.00,160.00,94.23,140.00,94.23,
137051400,BANDA LAV. ELECTROLUX 137051400,395.00,350.00,,325.00,300.00,sin_decimal_para_cananea
402,BANDA LAV. MBK,139.95,0.00,139.95,139.95,0.00,
1990,BANDA LAV. WH. DIG. W10006384 GEN,160.00,145.00,85.27,125.00,85.27,
1689,BANDA LAVADORA AMANA FRONTAL 8181670,550.00,0.00,,550.00,0.00,sin_decimal_para_cananea
796,BANDA LG 24.6M,90.00,70.00,20.34,50.00,20.34,
1716,BANDA M‑19.5 SAMSUNG GEN,8.60,,8.60,,8.60,un_solo_precio_distinto
1217,BANDA MAYTAG ORG 2 BANDAS ANTIGUA 12112425,450.00,,,,450.00,un_solo_precio_distinto;sin_decimal_para_cananea
883049499772,BANDA MAYTAG ORG W40111201 118CM,280.00,250.00,150.76,215.00,150.76,
1237,BANDA MB AMZ ORG 2115P004,60.00,31.10,31.10,60.00,31.10,
266,BANDA MBK 253C1275P001,93.26,,93.26,,93.26,un_solo_precio_distinto
1578,BANDA MBK 253C1275P001 GEN,27.79,,27.79,,27.79,un_solo_precio_distinto
wh1x2026,BANDA MOTOR LAV GE O.,160.00,0.00,,160.00,0.00,sin_decimal_para_cananea
398,BANDA MOTOR LAV. MY GEN,40.73,,40.73,,40.73,un_solo_precio_distinto
317,BANDA MOTOR MBAMOL,18.65,,18.65,,18.65,un_solo_precio_distinto
wp21352320,BANDA MOTOR WHMY O.,225.00,161.85,161.85,225.00,161.85,
1742,BANDA MULT‑V6 EJ300 VSIMTY 189D3909P002,123.44,,123.44,,123.44,un_solo_precio_distinto
44333301,BANDA PARA LAV. INDUSTRIAL 44333301,1660.00,,,,1660.00,un_solo_precio_distinto;sin_decimal_para_cananea
w10006384,BANDA PLANA WH ORG 5 COSTILLAS W10006384,136.62,,136.62,,136.62,un_solo_precio_distinto
1087,BANDA SAMSUNG M21.6 ORG.,25.30,,25.30,,25.30,un_solo_precio_distinto
1089,BANDA SAMSUNG ORG. M22,150.00,115.00,,105.00,95.00,sin_decimal_para_cananea
267,BANDA SIRVE DAEWOO M20.5,100.00,80.00,14.87,60.00,14.87,
134511600,BANDA SIRVE LAV SEC ORIGINAL WW,315.00,295.00,,295.00,280.00,sin_decimal_para_cananea
626,BANDA SM 21.6,90.00,60.00,,60.00,0.00,sin_decimal_para_cananea
627,BANDA SM M20.5 CHICA,145.00,120.00,,120.00,0.00,sin_decimal_para_cananea
3394652,BANDA WH ORG 100 CM 3394652,450.00,390.00,274.14,350.00,274.14,
297,BANDA WW GEN. SIRVE LAV Y SEC.,120.00,100.00,,100.00,90.00,sin_decimal_para_cananea
2251,BASE CANASTA Y ENGRANE WH GEN. W10820039,250.00,190.00,62.60,150.00,62.60,
883049597041,BASE CANASTA Y ENGRANE WH ORG. W10820039,490.00,450.00,295.91,425.00,295.91,
1807,BASE MOVIBLE SENCILLA PARA LAVADORA,290.00,220.00,156.60,180.00,156.60,
LBFKEN642,BISAGRA PARA LAVADORA KENMORE WHIRLPOOL 8181642 | WP8181642,800.00,,,,800.00,un_solo_precio_distinto;sin_decimal_para_cananea
1975,BISAGRA PIN LAV. MAYTAG,180.00,158.56,158.56,180.00,158.56,
1426,BISAGRA POSTERIOR MAYTAG ORG 35‑2044,250.00,186.89,186.89,250.00,186.89,
X0046QVH6L,BISAGRA PUERTA LAV. WH. FRONTAL WP8183202,1530.00,1100.00,,1020.00,940.00,sin_decimal_para_cananea
930,BLOCA PUERTA CENTRO DE LAVADO ORG. MB 2253D1098P001,226.07,,226.07,,226.07,un_solo_precio_distinto
137353302,BLOCAPUERTA CENTRO DE LAVADO ELECTROLUX 137353302,1250.00,1120.00,,1050.00,970.00,sin_decimal_para_cananea
x003dv2sbn,BLOCAPUERTA ELECTROLUX 5304505231,1165.00,1090.00,,1165.00,1090.00,sin_decimal_para_cananea
w10547392,BLOCAPUERTA JAGUAR GRIS CON MICRO. WH OR. W10547392,390.00,360.00,289.45,335.00,289.45,
6601EN1003D,BLOCAPUERTA LAV. LG 6601EN1003D,700.00,600.00,,560.00,520.00,sin_decimal_para_cananea
EBF61674802,BLOCAPUERTA LAV. LG EBF61674802 ORG.,920.00,790.00,476.55,685.00,476.55,
2169,BLOCAPUERTA LAV. LG FRONTAL EBF61674802,850.00,740.00,450.67,645.00,450.67,
2195,BLOCAPUERTA LAV. MABE KRAKEN 253C1214P001 ORG.,720.00,640.00,419.23,550.00,419.23,
59,BLOCAPUERTA LAV. MBAM MDRN.,180.00,130.00,,130.00,0.00,sin_decimal_para_cananea
dc64‑00519d‑e,BLOCAPUERTA LAV. SAMSUNG DC64‑00519D GEN,670.00,590.00,356.69,515.00,356.69,
2217,BLOCAPUERTA LAV. SAMSUNG GEN DC64‑02032A,490.00,420.00,251.60,360.00,251.60,
W11413545,BLOCAPUERTA LAV. WH ORG W11413545,580.00,510.00,310.84,450.00,310.84,
W10443885,BLOCAPUERTA LAV. WH. FRONTAL W10443885 ORG.,1760.00,1560.00,938.90,1350.00,938.90,
7122105,BLOCAPUERTA LAVADORA MBK OR,250.31,,250.31,,250.31,un_solo_precio_distinto
x003xbs1zp,BLOCAPUERTA MABE/GE WH08X32657,750.00,,,,750.00,un_solo_precio_distinto;sin_decimal_para_cananea
x002ga1719,"BLOCAPUERTA MAYTAG BRAVOS XL W10787836,W10619844",1750.00,1630.00,1171.72,1500.00,1171.72,
26,BLOCAPUERTA MBA TIPO L,350.00,285.00,170.33,245.00,170.33,
1793,BLOCAPUERTA NEGRO 4 TERM CL WW03F00016,278.12,,278.12,,278.12,un_solo_precio_distinto
1577,BLOCAPUERTA SAMSUNG GEN DC64‑01538B,190.00,160.00,,140.00,130.00,sin_decimal_para_cananea
1677,BLOCAPUERTA SAMSUNG GEN EBF61315802,260.66,,260.66,,260.66,un_solo_precio_distinto
1075,BLOCAPUERTA TAPA LARGO WH DIG BATMAN,370.00,300.00,,270.00,0.00,sin_decimal_para_cananea
2155,BLOCAPUERTA WH CABRIO GEN W11307244,445.00,314.25,314.25,445.00,314.25,
w11307244,BLOCAPUERTA WH CABRIO ORG w11307244,499.39,,499.39,,499.39,un_solo_precio_distinto
963,BLOCAPUERTA WH DIG. W10744659/10238287 GEN,499.01,,499.01,,499.01,un_solo_precio_distinto
962,BLOCAPUERTA WH DIG. W10744659/10238287 ORG,372.52,,372.52,,372.52,un_solo_precio_distinto
w10153867,BLOCAPUERTA WH ORG. DIG. W10153867,2150.00,1980.00,1318.93,1800.00,1318.93,
1187,BLOCAPUERTA WH. ORG S/MICROSWITCH GRIS W10707441,750.00,690.00,,690.00,650.00,sin_decimal_para_cananea
wp8183270,BLOCAPUERTA WH. ORG. WP8183270,1260.00,1115.00,671.91,965.00,671.91,
w10253483,BLOCAPUERTA WHO W10253483,2000.00,1800.00,1256.16,1800.00,1256.16,
w11176112,BLOCAPUERTA WHO W11176112,1090.00,960.00,,900.00,835.00,sin_decimal_para_cananea
137353300,BLOCAPUERTA WW 137353300 ORG,750.00,680.00,414.13,590.00,414.13,
131763256,BLOCAPUERTA WW ORG. 131763255,363.35,,363.35,,363.35,un_solo_precio_distinto
1459,BLOCK TINA C/SUJETADOR WH DIGITAL,450.00,400.00,,300.00,232.00,sin_decimal_para_cananea
w10324651,BLOCK TINA C/SUJETADOR Y TCA KIT DIGITAL W10324651,1030.00,920.00,789.99,850.00,789.99,
1461,BLOCK TINA CON TUERCA,90.17,,90.17,,90.17,un_solo_precio_distinto
847,BLOCK TINA TRANSM. WH FLECHA CORTA,100.00,69.99,69.99,69.99,0.00,
1393,BLOCK TINA WH GEN.,140.00,125.00,,115.00,80.00,sin_decimal_para_cananea
389140,BLOCK TINA WH ORG.,98.82,,98.82,,98.82,un_solo_precio_distinto
917,BLOCK WW GEN AGIT.,77.50,,77.50,,77.50,un_solo_precio_distinto
2081,BOBINA 12V REPUESTO ELECTROVALVULA UNIV.,110.00,75.00,,45.00,29.00,sin_decimal_para_cananea
1092,BOBINA REPUESTO ELECTROVALVULA UNIV.,150.00,,,,150.00,un_solo_precio_distinto;sin_decimal_para_cananea
1243,BOBINAS LAVADO EXPRIMIDO WH ANTIGUA,700.00,0.00,,700.00,0.00,sin_decimal_para_cananea
972,BOMBA BOCA GRANDE GEN WH,390.00,345.00,207.20,300.00,207.20,
