SKU,Nombre,Existencia,Categoria,Archivo_origen,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json
037103575623,VACUOMETRO DIGITAL CON CONEXION BLUETOOTH GB,2,ACCESORIOS,ACCESORIOS.xlsx,4.31,4.31,3.45,2.59,3.45,3.45,"{""regular"":4.31,""tecnico"":3.45,""cananea"":2.59,""mayoreo_menos"":3.45,""mayoreo_mas"":3.45}"
037103575654,VALVULA DE ESFERA P/MANGUERAS DE MANOMETRO 1/4MX1/4H,16,ACCESORIOS,ACCESORIOS.xlsx,293.1,293.1,250.0,152.26,232.76,215.52,"{""regular"":293.1,""tecnico"":250.0,""cananea"":152.26,""mayoreo_menos"":232.76,""mayoreo_mas"":215.52}"
037103575661,VALVULA REMOVEDORA C/ PUERTO DE SERVICIO 1/4 5/16 GB,9,ACCESORIOS,ACCESORIOS.xlsx,646.55,646.55,590.52,359.1,547.41,508.62,"{""regular"":646.55,""tecnico"":590.52,""cananea"":359.1,""mayoreo_menos"":547.41,""mayoreo_mas"":508.62}"
037103575821,DESTORNILLADOR 6 EN 1 GB,10,ACCESORIOS,ACCESORIOS.xlsx,94.83,94.83,73.28,40.96,64.66,56.03,"{""regular"":94.83,""tecnico"":73.28,""cananea"":40.96,""mayoreo_menos"":64.66,""mayoreo_mas"":56.03}"
037103575890,"HIDROLAVADORA A PRESION 1800W 1450 PSI 120V ""GB""",0,ACCESORIOS,ACCESORIOS.xlsx,0.86,0.86,0.86,0.86,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":0.86,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
037103576019,DESTORNILLADOR DE MATRACA CON BISADRA 10 PUNTAS GB,9,ACCESORIOS,ACCESORIOS.xlsx,275.86,275.86,241.38,147.01,224.14,206.9,"{""regular"":275.86,""tecnico"":241.38,""cananea"":147.01,""mayoreo_menos"":224.14,""mayoreo_mas"":206.9}"
037103576026,"BOQUILLA DE DOBLE TUBO CON AUTOENCENDIDO DE ALTO RENDIMIENTO ""GB""",-2,ACCESORIOS,ACCESORIOS.xlsx,818.97,818.97,818.97,618.46,0.86,0.86,"{""regular"":818.97,""tecnico"":818.97,""cananea"":618.46,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
037103576040,TERMOMETRO DIGITAL HIGROMETRO-ALARMA GB,3,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
037103576095,REFLECTOR CALOR GB,20,ACCESORIOS,ACCESORIOS.xlsx,301.72,301.72,275.86,178.51,258.62,241.38,"{""regular"":301.72,""tecnico"":275.86,""cananea"":178.51,""mayoreo_menos"":258.62,""mayoreo_mas"":241.38}"
037103576163,FUNDENTE BLANCO 100G P/ SOLDADURA GB,25,ACCESORIOS,ACCESORIOS.xlsx,155.17,155.17,133.62,67.21,120.69,103.45,"{""regular"":155.17,""tecnico"":133.62,""cananea"":67.21,""mayoreo_menos"":120.69,""mayoreo_mas"":103.45}"
070042401004,BOQUILLA LATON P/GAS,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
076308925680,CINTA AISLANTE 3M,-3,ACCESORIOS,ACCESORIOS.xlsx,38.79,38.79,34.48,0.0,30.17,0.0,"{""regular"":38.79,""tecnico"":34.48,""cananea"":0.0,""mayoreo_menos"":30.17,""mayoreo_mas"":0.0}"
078204320088,"CINTA DE ALUMINIO IDELTAPE 488 3""",16,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1,CABLES PARA SOLDAR 10 MTS.,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
10020,LLAVERO CON ADAPTADORES PARA PUNTAS 6,0,ACCESORIOS,ACCESORIOS.xlsx,224.14,224.14,198.28,81.9,172.41,155.17,"{""regular"":224.14,""tecnico"":198.28,""cananea"":81.9,""mayoreo_menos"":172.41,""mayoreo_mas"":155.17}"
1042,TERMINAL ENCHUFE HEMBRA AMARILLA,782,ACCESORIOS,ACCESORIOS.xlsx,1.72,1.72,1.72,0.54,1.72,0.0,"{""regular"":1.72,""tecnico"":1.72,""cananea"":0.54,""mayoreo_menos"":1.72,""mayoreo_mas"":0.0}"
1201,BALERO 6305 LAVADORA FRONTAL LG,14,ACCESORIOS,ACCESORIOS.xlsx,112.07,112.07,103.45,42.02,94.83,0.0,"{""regular"":112.07,""tecnico"":103.45,""cananea"":42.02,""mayoreo_menos"":94.83,""mayoreo_mas"":0.0}"
1223,TANQUE DE GAS AMARILLO CB,19,ACCESORIOS,ACCESORIOS.xlsx,232.76,232.76,198.28,123.37,198.28,193.97,"{""regular"":232.76,""tecnico"":198.28,""cananea"":123.37,""mayoreo_menos"":198.28,""mayoreo_mas"":193.97}"
1247,BALERO 6201 WMP,27,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1319,NAVAJA 1 SOLO FILO TRUPER PIEZA,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1333,CAJA DE HERRAMIENTAS HUSKY,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
