SKU,Nombre,Existencia,Categoria,Archivo_origen,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json 
7503026192573,BOMBA DISPENSADORA DE AGUA COLDTEK PARA REFRIGERADOR,0,ACCESORIOS,ACCESORIOS.xlsx,1.72,1.72,1.72,0.86,1.72,1.72,"{""regular"":1.72,""tecnico"":1.72,""cananea"":0.86,""mayoreo_menos"":1.72,""mayoreo_mas"":1.72}"
7503026204740,CINTA ESPUMA COLDTEK 9.14M,-8,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7503032237428,REGULADOR DE VOLTAJE 1000W,4,ACCESORIOS,ACCESORIOS.xlsx,0.86,0.86,0.86,854.71,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":854.71,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
7503032237435,REGULADOR DE VOLTAJE 1500W,2,ACCESORIOS,ACCESORIOS.xlsx,0.86,0.86,0.86,0.86,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":0.86,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
7503033971581,COPLE RAPIDO ANGULADO AZUL DE BAJA PRESION,4,ACCESORIOS,ACCESORIOS.xlsx,232.76,232.76,202.59,123.9,189.66,176.72,"{""regular"":232.76,""tecnico"":202.59,""cananea"":123.9,""mayoreo_menos"":189.66,""mayoreo_mas"":176.72}"
7503036024345,LIQUIDO PROTECTOR DISIPADOR EN GEL,1,ACCESORIOS,ACCESORIOS.xlsx,344.83,344.83,344.83,252.01,344.83,344.83,"{""regular"":344.83,""tecnico"":344.83,""cananea"":252.01,""mayoreo_menos"":344.83,""mayoreo_mas"":344.83}"
7503036024390,PASTA ANTI CALOR PARA SOLDADURAS 500GRS,1,ACCESORIOS,ACCESORIOS.xlsx,0.86,0.86,0.86,858.91,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":858.91,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
7503050733292,LIQUIDO LIMPIADOR MOKA DE CAFETERAS 0.94L ERRECOM,1,ACCESORIOS,ACCESORIOS.xlsx,413.79,413.79,362.07,231.01,336.21,310.34,"{""regular"":413.79,""tecnico"":362.07,""cananea"":231.01,""mayoreo_menos"":336.21,""mayoreo_mas"":310.34}"
7503050733308,LIQUIDO LIMPIADOR ALCALINO PARA PANELES SOLAES ERRECOM,1,ACCESORIOS,ACCESORIOS.xlsx,241.38,241.38,215.52,129.16,198.28,185.34,"{""regular"":241.38,""tecnico"":215.52,""cananea"":129.16,""mayoreo_menos"":198.28,""mayoreo_mas"":185.34}"
7503050733346,BOQUILLA P/SOLDAR SENCILLA COLDTEK,4,ACCESORIOS,ACCESORIOS.xlsx,543.1,543.1,482.76,289.8,448.28,413.79,"{""regular"":543.1,""tecnico"":482.76,""cananea"":289.8,""mayoreo_menos"":448.28,""mayoreo_mas"":413.79}"
7503050733353,BOQUILLA P/SOLDAR SENCILLA CON AUTOENCENDIDO COLDTEK,5,ACCESORIOS,ACCESORIOS.xlsx,586.21,586.21,508.62,303.45,469.83,431.03,"{""regular"":586.21,""tecnico"":508.62,""cananea"":303.45,""mayoreo_menos"":469.83,""mayoreo_mas"":431.03}"
7503050733360,BOQUILLA P/SOLDAR DOBLE COLDTEK,4,ACCESORIOS,ACCESORIOS.xlsx,767.24,767.24,715.52,460.96,663.79,0.86,"{""regular"":767.24,""tecnico"":715.52,""cananea"":460.96,""mayoreo_menos"":663.79,""mayoreo_mas"":0.86}"
7503050733377,PROTECTOR DE VOLTAJE COLDTEK,70,ACCESORIOS,ACCESORIOS.xlsx,275.86,275.86,232.76,129.16,206.9,185.34,"{""regular"":275.86,""tecnico"":232.76,""cananea"":129.16,""mayoreo_menos"":206.9,""mayoreo_mas"":185.34}"
7503053083080,PROTECTOR CORTA VOLTAJE 3MIN. 110V COLDTEK,21,ACCESORIOS,ACCESORIOS.xlsx,301.72,301.72,275.86,166.96,258.62,241.38,"{""regular"":301.72,""tecnico"":275.86,""cananea"":166.96,""mayoreo_menos"":258.62,""mayoreo_mas"":241.38}"
7503053083295,PROTECTOR CORTA VOLTAJE 3MIN. 220V COLDTEK,50,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240600794,"TERMOPAR CON PILOTO 24""",-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240601913,ALAMBRE GALVANIZADO CAL. 18,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240602569,CINTA TEFLON TRUPPER 7 M,10,ACCESORIOS,ACCESORIOS.xlsx,13.79,13.79,13.79,0.0,13.79,0.0,"{""regular"":13.79,""tecnico"":13.79,""cananea"":0.0,""mayoreo_menos"":13.79,""mayoreo_mas"":0.0}"
7506240603870,"TORNILLO PUNTA DE BROCA 1"" ESTRELLA 100PZ",0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240603887,"TORNILLO PUNTA DE BROCA 1/4"" 100PZ",0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240613671,PEGAMENTO P/PVC 250ML,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240616528,HERRAMIENTA MULTIUSOS PRETUL,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240618539,TERMINAL PLOMO POSTER LATERAL P/BATERIA 2PZS,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240620280,ESPUMA EXPANSIVA 500ML TRUPPER,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240621737,GRASA CHASIS LITIO TRUPER,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240623885,"DISCO PARA CORTAR METAL 14"" PRETUL",0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240636403,CEPILLO TIPO PLANCHA,12,ACCESORIOS,ACCESORIOS.xlsx,17.24,17.24,17.24,0.0,17.24,0.0,"{""regular"":17.24,""tecnico"":17.24,""cananea"":0.0,""mayoreo_menos"":17.24,""mayoreo_mas"":0.0}"
7506240636427,CEPILLO TIPO ESCOBETA,7,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240639718,GAS PROPANO 400GR AZUL,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240642848,CEPILLO ALAMBRE PRETUL,5,ACCESORIOS,ACCESORIOS.xlsx,30.17,30.17,30.17,21.81,0.0,0.0,"{""regular"":30.17,""tecnico"":30.17,""cananea"":21.81,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240646419,PILA ALCALINA AA,6,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240646426,PILA ALCALINA AAA,87,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240646730,CAJA APILABLE MEDIANA TRUPER,-20,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240646914,"PINZA CHOFER 8"" PREFUL",1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240647034,JUEGO DE LLAVES TORX PRETUL,3,ACCESORIOS,ACCESORIOS.xlsx,64.66,64.66,60.34,0.0,0.0,0.0,"{""regular"":64.66,""tecnico"":60.34,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240650607,SOLDADURA ESTAÑO TRUPER BAJA PRESION,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240651994,ATOMIZADOR TRUPER 1L,-13,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240652939,FUMIGADOR TRUPER 3 LT,0,ACCESORIOS,ACCESORIOS.xlsx,318.97,318.97,318.97,258.62,293.1,293.1,"{""regular"":318.97,""tecnico"":318.97,""cananea"":258.62,""mayoreo_menos"":293.1,""mayoreo_mas"":293.1}"
7506240652946,FUMIGADOR TRUPER 5 LT,0,ACCESORIOS,ACCESORIOS.xlsx,366.38,366.38,366.38,284.48,344.83,344.83,"{""regular"":366.38,""tecnico"":366.38,""cananea"":284.48,""mayoreo_menos"":344.83,""mayoreo_mas"":344.83}"
7506240653196,FILTRO PARA HIDROLAV. TRUPER,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240653271,LUBRICANTE AFLOJATODO TRUPER 110ML,3,ACCESORIOS,ACCESORIOS.xlsx,38.79,38.79,34.48,24.46,34.48,0.0,"{""regular"":38.79,""tecnico"":34.48,""cananea"":24.46,""mayoreo_menos"":34.48,""mayoreo_mas"":0.0}"
7506240653301,LUBRICANTE AFLOJATODO TRUPER 400ML,17,ACCESORIOS,ACCESORIOS.xlsx,77.59,77.59,64.66,60.34,60.34,60.34,"{""regular"":77.59,""tecnico"":64.66,""cananea"":60.34,""mayoreo_menos"":60.34,""mayoreo_mas"":60.34}"
7506240654759,"CAMARA LLANTA 10""",12,ACCESORIOS,ACCESORIOS.xlsx,77.59,77.59,0.0,49.79,0.0,0.0,"{""regular"":77.59,""tecnico"":0.0,""cananea"":49.79,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240654773,"LLANTA 10""",-1,ACCESORIOS,ACCESORIOS.xlsx,137.93,137.93,104.1,49.79,0.0,0.0,"{""regular"":137.93,""tecnico"":104.1,""cananea"":49.79,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240654780,"LLANTA IMPONCHABLE DIABLO 10"" EJE CENTRAL",2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240654803,"LLANTA IMPONCHABLE DIABLO 10"" EJE LATERAL",-2,ACCESORIOS,ACCESORIOS.xlsx,336.21,336.21,336.21,0.0,336.21,0.0,"{""regular"":336.21,""tecnico"":336.21,""cananea"":0.0,""mayoreo_menos"":336.21,""mayoreo_mas"":0.0}"
7506240656944,JUEGO DE DADOS PARA TALADRO PRETUL,1,ACCESORIOS,ACCESORIOS.xlsx,120.69,120.69,112.07,85.02,112.07,112.07,"{""regular"":120.69,""tecnico"":112.07,""cananea"":85.02,""mayoreo_menos"":112.07,""mayoreo_mas"":112.07}"
7506240657002,"PEGAMENTO AZUL PVC 12"" 250ML",4,ACCESORIOS,ACCESORIOS.xlsx,112.07,112.07,103.45,67.91,103.45,94.83,"{""regular"":112.07,""tecnico"":103.45,""cananea"":67.91,""mayoreo_menos"":103.45,""mayoreo_mas"":94.83}"
7506240657620,GUANTES DE NYLON RECUBIERTOS PRETUL TM,1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240657637,GUANTES DE NYLON RECUBIERTOS PRETUL TG,22,ACCESORIOS,ACCESORIOS.xlsx,34.48,34.48,34.48,22.64,34.48,34.48,"{""regular"":34.48,""tecnico"":34.48,""cananea"":22.64,""mayoreo_menos"":34.48,""mayoreo_mas"":34.48}"
7506240658085,JUEGO DE ADAPTADORES P/DADO 3PZ,14,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240658344,JUEGO ADAPTADORES LARGO DADOS TRUPER,0,ACCESORIOS,ACCESORIOS.xlsx,129.31,129.31,129.31,0.0,0.0,0.0,"{""regular"":129.31,""tecnico"":129.31,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240661825,"DESARMADOR DE CAJA 1/4""",4,ACCESORIOS,ACCESORIOS.xlsx,60.34,60.34,56.03,56.03,0.0,0.0,"{""regular"":60.34,""tecnico"":56.03,""cananea"":56.03,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240661832,"DESARMADOR DE CAJA 5/16""",4,ACCESORIOS,ACCESORIOS.xlsx,60.34,60.34,56.03,35.31,56.03,51.72,"{""regular"":60.34,""tecnico"":56.03,""cananea"":35.31,""mayoreo_menos"":56.03,""mayoreo_mas"":51.72}"
7506240665403,BASCULA ELECTRONICA PRETUL 40KG,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240667964,BOMBA PRESURIZADORA 1/6HP 1A TRUPER,0,ACCESORIOS,ACCESORIOS.xlsx,810.34,810.34,0.86,656.3,0.86,0.86,"{""regular"":810.34,""tecnico"":0.86,""cananea"":656.3,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
7506240670896,HIDROLAVADORA ELECTRICA PRETUL 1300PSI,-2,ACCESORIOS,ACCESORIOS.xlsx,0.86,0.86,0.86,0.0,0.86,0.0,"{""regular"":0.86,""tecnico"":0.86,""cananea"":0.0,""mayoreo_menos"":0.86,""mayoreo_mas"":0.0}"
7506240673002,DADO MAGNETICO HEXAGONAL TRUPER 3/8,-8,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240673095,EXTENSION MAGNETICA 1/4 PARA DESATORNILLADOR,-2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240674603,GRAPAS PARA CABLE COAXIAL 6MM 500 PZ,10,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240676188,"TAQUETE PLASTICO 1/2"" PANEL YESO 100 PZ",0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240676287,"EXTENSION MAGNETICA 1/4"" TRUPER",-1,ACCESORIOS,ACCESORIOS.xlsx,77.59,77.59,68.97,44.37,68.97,68.97,"{""regular"":77.59,""tecnico"":68.97,""cananea"":44.37,""mayoreo_menos"":68.97,""mayoreo_mas"":68.97}"
7506240676294,"EXTENSION MAGNETICA ARTICULADA 1/4"" TRUPER",0,ACCESORIOS,ACCESORIOS.xlsx,129.31,129.31,116.38,89.61,116.38,116.38,"{""regular"":129.31,""tecnico"":116.38,""cananea"":89.61,""mayoreo_menos"":116.38,""mayoreo_mas"":116.38}"
7506240677987,"MALETA 14"" PORTAHERRAMIENTA TRUPER",0,ACCESORIOS,ACCESORIOS.xlsx,310.34,310.34,280.17,176.53,258.62,241.38,"{""regular"":310.34,""tecnico"":280.17,""cananea"":176.53,""mayoreo_menos"":258.62,""mayoreo_mas"":241.38}"
7506240682066,BROCA SDS 3/8X24 TRUPER,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240683513,CEPILLO FLEXIBLE PLASTICO,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240690054,TALADRO INALAMBRICO PRETUL 20V,-2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506240690917,"JUEGO DE PUNTAS 2"" CON SEGURO TORX TRUPER",7,ACCESORIOS,ACCESORIOS.xlsx,94.83,94.83,81.9,62.47,77.59,68.97,"{""regular"":94.83,""tecnico"":81.9,""cananea"":62.47,""mayoreo_menos"":77.59,""mayoreo_mas"":68.97}"
7506240690948,"JUEGO DE PUNTAS 2"" TORX TRUPER",3,ACCESORIOS,ACCESORIOS.xlsx,81.9,81.9,77.59,62.47,77.59,68.97,"{""regular"":81.9,""tecnico"":77.59,""cananea"":62.47,""mayoreo_menos"":77.59,""mayoreo_mas"":68.97}"
7506240691747,LUBRICANTE SECO PTFE EN AEROSOL TRUPER 240ML,6,ACCESORIOS,ACCESORIOS.xlsx,77.59,77.59,73.28,58.84,73.28,73.28,"{""regular"":77.59,""tecnico"":73.28,""cananea"":58.84,""mayoreo_menos"":73.28,""mayoreo_mas"":73.28}"
7506240699569,EXTESION FLEXIBLE PARA TALADRO 30 TRUPER,6,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
7506610205628,BASCULA DIGITAL COLGANTE 50KG PRETUL,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
75650000311,LATA PULIURETANO .340K,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
78204320088,"CINTA DE ALUMINIO 3""",-2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
783643334885,TERMICO 3P 60 AMPS,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
792363696456,ESMERILADOR DRILMASTER,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
79567520115,WD-40 382 ML,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
809,BALERO ASER 6203 LAVADORA FRONTAL LG,-4,ACCESORIOS,ACCESORIOS.xlsx,51.72,51.72,43.1,26.03,43.1,43.1,"{""regular"":51.72,""tecnico"":43.1,""cananea"":26.03,""mayoreo_menos"":43.1,""mayoreo_mas"":43.1}"
810022392386,DESATORNILLADOR DE IMPACTO HART 20V,-2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
811,TERMINAL ENCHUFE HEMBRA AZUL,451,ACCESORIOS,ACCESORIOS.xlsx,1.72,1.72,1.72,0.0,1.72,1.72,"{""regular"":1.72,""tecnico"":1.72,""cananea"":0.0,""mayoreo_menos"":1.72,""mayoreo_mas"":1.72}"
826,CONECTOR RAPIDO HEMBRA,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
833650307,CINTA AISLANTE E-8000,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
841,METRO CINTA ALUMINIO 3,-14.5,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
866,CUBRE BOCAS AZUL,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
876416155289,CINCHO DE PLASTICO 19CM,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
876416155296,CINCHO DE PLASTICO 35CM,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
885911576963,DOBLADOR DE LAMINA LENOX,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
954,BALERO 6306 NTN LAVADORA FRONTAL,-3,ACCESORIOS,ACCESORIOS.xlsx,189.66,189.66,163.79,98.77,155.17,142.24,"{""regular"":189.66,""tecnico"":163.79,""cananea"":98.77,""mayoreo_menos"":155.17,""mayoreo_mas"":142.24}"
955,BALERO 6306 WMP LAVADORA FRONTAL,12,ACCESORIOS,ACCESORIOS.xlsx,163.79,163.79,129.31,39.91,103.45,77.59,"{""regular"":163.79,""tecnico"":129.31,""cananea"":39.91,""mayoreo_menos"":103.45,""mayoreo_mas"":77.59}"
BS45,"DISCO SEGMENTADO 4.5"" BRONCE",-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
FC108,ATOMIZADOR DE GATILLO 1LT,8,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
SLIT35032,HIDROLAVADORA A PRESION PORTATIL,-12,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
SV1465-B6082RS,BALERO NTN 608,17,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
SV1465-B62002RS,BALERO 6200 2RS NTN,8,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
XAMR16241,MULTIMETRO DIGITAL PROFESIONAL NT DT9205A AC-DC,-2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
026715254217,VENTILADOR EXTRACTOR BROAN,0,AIRE ACONDICIONADO,AIRE ACONDICIONADO.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
